State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000001100011    0.09272         [2]             [1, 2]          None            None            [6]             [7]             [1, 7]          [1, 2, 6]       [1, 2, 7]       None            None           
000001100100    0.06790         None            [3]             None            None            [6]             [7]             None            [3, 6]          [3, 7]          None            None           
000001100101    0.09671         None            [3]             [1, 3]          None            [6]             [7]             [1, 7]          [3, 6]          [1, 3, 6]       [1, 3, 7]       None           
000001100110    0.09486         [2]             [3]             None            [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [2, 3, 6]       [2, 3, 7]      
000001100111    0.11234         [2]             [3]             [1, 3]          [2, 3]          [6]             [7]             [1, 7]          [2, 7]          [3, 7]          [1, 3, 7]       [1, 2, 3, 6]   
000001101000    0.05478         None            None            [4]             None            [6]             [7]             None            None            [4, 6]          [4, 7]          None           
000001101001    0.08140         None            None            [4]             [1, 4]          [6]             [7]             [1, 7]          None            [4, 6]          [1, 4, 6]       [1, 4, 7]      
000001101010    0.07703         [2]             None            [4]             None            [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          [2, 4, 6]      
000001101011    0.10413         [2]             [1, 2]          [4]             [1, 4]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          [1, 4, 7]      
000001101100    0.05414         None            [3]             [4]             None            [6]             [7]             None            [3, 6]          [3, 7]          [4, 7]          None           
000001101101    0.09392         None            [3]             [4]             [1, 4]          [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [4, 7]          [1, 4, 7]      
000001101110    0.08739         [2]             [3]             [4]             [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          [2, 3, 7]      
000001101111    0.12228         [2]             [3]             [4]             [1, 4]          [6]             [7]             [1, 7]          [2, 7]          [3, 7]          [4, 7]          [2, 3, 7]      
000001110000    0.04167         None            None            None            [5]             [6]             [7]             None            None            None            [5, 6]          [5, 7]         
000001110001    0.05646         None            None            None            [5]             [6]             [7]             [1, 7]          None            None            [5, 6]          [1, 5, 6]      
000001110010    0.06126         [2]             None            None            [5]             [6]             [7]             [2, 6]          [2, 7]          None            [5, 6]          [5, 7]         
000001110011    0.08566         [2]             [1, 2]          None            [5]             [6]             [7]             [1, 7]          [2, 7]          [1, 2, 7]       [5, 6]          [5, 7]         
000001110100    0.06259         None            [3]             None            [5]             [6]             [7]             [3, 5]          [3, 6]          [3, 7]          [5, 6]          [5, 7]         
000001110101    0.08958         None            [3]             [1, 3]          [5]             [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [5, 6]          [5, 7]         
